uuid,book_title,commenter,Full_Mask_comment,answer_quote_text,answer_quote_idx,num_sents,close_reading_example,explanation_human,human_eval_set,response_anthropic_claude-sonnet-4.5_task1_v1_text_simple_edited_window,response_deepseek_deepseek-v3.2_task1_v1_text_simple_edited_window
41019663,aeneid_book3,Servius,"erili voluntate , non lege coniugii : vel quia inter captivos matrimonio fides non stabat : unde et 'MASK' dixit . et 'MASK', quia alii tradidit , quidam 'MASK' accipiunt .",TRANSMISIT HABENDAM,329,1,,,,Pyrrhin' conubia servas?,me famulo famulamque Heleno transmisit habendam
61003512,aeneid_book1,Servius,"proprie MASK dicuntur exitus fluminum , sed modo abusus est , quia plerumque MASK ipsa pro portu sunt .",OSTIA,400,1,,,,ostia,Tiberinaque longe ostia
24527679,aeneid_book4,Servius,sic Aeolus “MASK MASK MASK MASK MASK MASK MASK“ .,TIBI FAS ANIMUM TEMPTARE PRECANDO,113,1,,,,ERROR: Aeolus does not speak in Book 4,"Heia age, rumpe moras. Varium et mutabile semper femina."
76590588,aeneid_book2,Servius,"vel quia 'MASK' appellantur quae sunt in ministerio Iovis , quando morbos aut letum aut bellum hominibus molitur , quia in XII . ait “MASK MASK MASK MASK MASK“ .",APPARENT DIRAE FACIES,622,1,,,,tristis Erinys,tristis Erinys
7986276,aeneid_book9,Servius,"distinguendum , ut initium iuris iurandi sit 'MASK MASK MASK'.",NON,206,1,,,,per caput hoc iuro,per caput hoc iuro
65984520,aeneid_book11,Servius,qui a diis originem ducunt .,CUM GENTE DEORUM,305,1,,,,cum gente deorum,quae nunc dubiis committitur auris
41722738,aeneid_book12,Servius,"quidam pro 'MASK', alii pro 'MASK', ut “MASK MASK MASK MASK MASK“ .",SUPER,301,1,,,,ni te tantus edit tacitam dolor,cum gemitu fugit indignata sub umbras
28547083,aeneid_book7,Servius,acyrologiam fecit commutando Ennii versum : nam ille ait “MASK MASK MASK MASK MASK“ .,RUPIT SATURNIA POSTES,622,1,,,,Dicam horrida bella,Olli pestis enim tacitis latet aspera silvis
38876251,aeneid_book4,Servius,"id est , hoc vellem praecipue .",PRIMUM,342,1,,,,vellem sociare iugali,"felix, heu nimium felix, si litora tantum"
81599950,aeneid_book10,Servius,id est castra Troianorum .,TROIAM,378,1,,,,castra Dardanidum,castra Dardanidum
24076009,aeneid_book3,Servius,"aperta ianua , per periphrasin .",VERSO CARDINE,448,1,,,,verso tenuis cum cardine ventus impulit,impulit et teneras turbavit ianua
