uuid,book_title,commenter,Full_Mask_comment,answer_quote_text,answer_quote_idx,num_sents,close_reading_example,explanation_human,human_eval_set,response_anthropic_claude-sonnet-4.5_task1_v1_text_simple_edited_window,response_deepseek_deepseek-v3.2_task1_v1_text_simple_edited_window,response_anthropic_claude-sonnet-4.5_task1_v1_text_simple_edited_window_ERROR,response_deepseek_deepseek-v3.2_task1_v1_text_simple_edited_window_ERROR,correctness_anthropic_claude-sonnet-4.5_task1_v1_text_simple_edited_window_FUZZY_MATCH,correctness_deepseek_deepseek-v3.2_task1_v1_text_simple_edited_window_FUZZY_MATCH
41019663,aeneid_book3,Servius,"erili voluntate , non lege coniugii : vel quia inter captivos matrimonio fides non stabat : unde et 'MASK' dixit . et 'MASK', quia alii tradidit , quidam 'MASK' accipiunt .",TRANSMISIT HABENDAM,329,1,,,,Pyrrhin' conubia servas?,me famulo famulamque Heleno transmisit habendam,,,False,True
61003512,aeneid_book1,Servius,"proprie MASK dicuntur exitus fluminum , sed modo abusus est , quia plerumque MASK ipsa pro portu sunt .",OSTIA,400,1,,,,ostia,Tiberinaque longe ostia,,,True,True
24527679,aeneid_book4,Servius,sic Aeolus “MASK MASK MASK MASK MASK MASK MASK“ .,TIBI FAS ANIMUM TEMPTARE PRECANDO,113,1,,,,ERROR: Aeolus does not speak in Book 4,"Heia age, rumpe moras. Varium et mutabile semper femina.",Model generated window not found in primary source,,,False
76590588,aeneid_book2,Servius,"vel quia 'MASK' appellantur quae sunt in ministerio Iovis , quando morbos aut letum aut bellum hominibus molitur , quia in XII . ait “MASK MASK MASK MASK MASK“ .",APPARENT DIRAE FACIES,622,1,,,,tristis Erinys,tristis Erinys,,,False,False
7986276,aeneid_book9,Servius,"distinguendum , ut initium iuris iurandi sit 'MASK MASK MASK'.",NON,206,1,,,,per caput hoc iuro,per caput hoc iuro,,,False,False
65984520,aeneid_book11,Servius,qui a diis originem ducunt .,CUM GENTE DEORUM,305,1,,,,cum gente deorum,quae nunc dubiis committitur auris,,,True,False
41722738,aeneid_book12,Servius,"quidam pro 'MASK', alii pro 'MASK', ut “MASK MASK MASK MASK MASK“ .",SUPER,301,1,,,,ni te tantus edit tacitam dolor,cum gemitu fugit indignata sub umbras,,,False,False
28547083,aeneid_book7,Servius,acyrologiam fecit commutando Ennii versum : nam ille ait “MASK MASK MASK MASK MASK“ .,RUPIT SATURNIA POSTES,622,1,,,,Dicam horrida bella,Olli pestis enim tacitis latet aspera silvis,,,False,False
38876251,aeneid_book4,Servius,"id est , hoc vellem praecipue .",PRIMUM,342,1,,,,vellem sociare iugali,"felix, heu nimium felix, si litora tantum",,,False,False
81599950,aeneid_book10,Servius,id est castra Troianorum .,TROIAM,378,1,,,,castra Dardanidum,castra Dardanidum,Model generated window not found in primary source,Model generated window not found in primary source,,
24076009,aeneid_book3,Servius,"aperta ianua , per periphrasin .",VERSO CARDINE,448,1,,,,verso tenuis cum cardine ventus impulit,impulit et teneras turbavit ianua,,,False,False
94256236,aeneid_book8,Servius,"fatum saepe pro morte positum legitur , 'MASK' ergo letiferum .",FATIFERUMQUE ENSEM,621,1,,,,fatiferumque ensem,fatiferumque ensem,,,True,True
68553774,aeneid_book5,Servius,"ordo est : iubet caedere MASK MASK , id est rite peragi sacrificium , et sic solvi MASK : sic in septimo “MASK MASK MASK MASK MASK“ , id est rite . 'MASK' autem quo naves ad terram ligantur .",SOLVIQUE EX ORDINE FUNEM,773,1,,,,solvique ex ordine funem,"Tris Eryci vitulos et Tempestatibus agnam caedere deinde iubet, solvique ex ordine funem.",,,True,True
17434163,aeneid_book6,Servius,"MASK “MASK MASK MASK MASK MASK“ . et hinc ostenditur quod diximus , iuncta esse haec tria : Acheronta , Stygem , Cocyton . de his autem nascuntur alia , unde est “MASK MASK MASK MASK MASK“ .",INDE UT STYGIA PROSPEXIT AB UNDA,385,1,,,,atque omnem Cocyto eructat harenam,Cocytusque sinu labens circumvenit atro,,,False,False
74640562,aeneid_book8,Servius,"unum vacat , aut 'MASK', aut 'MASK', ut “MASK MASK MASK MASK MASK MASK MASK“ : tale est et illud “MASK MASK MASK MASK“ .",POST HINC AD NAVES GRADITUR,546,1,,,,"atque animum nunc huc celerem, nunc dividit illuc",electro auroque recocto,,,False,False
96585365,aeneid_book6,Servius,"obtineat , custodiat , inhabitet , ut “MASK MASK MASK MASK MASK MASK MASK“ .",SERVET,402,1,,,,habitatque sub alto pectore,vestibulum exsomnis servat noctesque diesque,,,False,False
6256800,aeneid_book1,Servius,"volubilibus , et est participium pro nomine . volvens enim est qui volvit , volubilis qui volvitur . anni autem volvuntur , non volvunt , ut est “MASK MASK MASK MASK MASK MASK MASK MASK“ . alii quia deficit lingua Latina participio praesenti passivo praesens activum positum volunt , ut “MASK MASK“ et “MASK MASK“ quae quassetur .",VOLVENTIBUS,234,1,,,,volventibus annis,volventibus annis,,,True,True
