uuid,book_title,commenter,Full_Mask_comment,answer_quote_text,answer_quote_idx,num_sents,close_reading_example,explanation_human,human_eval_set,response_anthropic_claude-sonnet-4.5_task4_v1_line,response_deepseek_deepseek-v3.2_task4_v1_line
41019663,aeneid_book3,Servius,"erili voluntate , non lege coniugii : vel quia inter captivos matrimonio fides non stabat : unde et 'MASK' dixit . et 'MASK', quia alii tradidit , quidam 'MASK' accipiunt .",TRANSMISIT HABENDAM,329,1,,,,329,710
61003512,aeneid_book1,Servius,"proprie MASK dicuntur exitus fluminum , sed modo abusus est , quia plerumque MASK ipsa pro portu sunt .",OSTIA,400,1,,,,159,244
24527679,aeneid_book4,Servius,sic Aeolus “MASK MASK MASK MASK MASK MASK MASK“ .,TIBI FAS ANIMUM TEMPTARE PRECANDO,113,1,,,,116,125
76590588,aeneid_book2,Servius,"vel quia 'MASK' appellantur quae sunt in ministerio Iovis , quando morbos aut letum aut bellum hominibus molitur , quia in XII . ait “MASK MASK MASK MASK MASK“ .",APPARENT DIRAE FACIES,622,1,,,,337,337
7986276,aeneid_book9,Servius,"distinguendum , ut initium iuris iurandi sit 'MASK MASK MASK'.",NON,206,1,,,,300,186
65984520,aeneid_book11,Servius,qui a diis originem ducunt .,CUM GENTE DEORUM,305,1,,,,340,318
41722738,aeneid_book12,Servius,"quidam pro 'MASK', alii pro 'MASK', ut “MASK MASK MASK MASK MASK“ .",SUPER,301,1,,,,1,646
28547083,aeneid_book7,Servius,acyrologiam fecit commutando Ennii versum : nam ille ait “MASK MASK MASK MASK MASK“ .,RUPIT SATURNIA POSTES,622,1,,,,753,691
38876251,aeneid_book4,Servius,"id est , hoc vellem praecipue .",PRIMUM,342,1,,,,657,550
81599950,aeneid_book10,Servius,id est castra Troianorum .,TROIAM,378,1,,,,118,12
24076009,aeneid_book3,Servius,"aperta ianua , per periphrasin .",VERSO CARDINE,448,1,,,,537,351
94256236,aeneid_book8,Servius,"fatum saepe pro morte positum legitur , 'MASK' ergo letiferum .",FATIFERUMQUE ENSEM,621,1,,,,578,18
68553774,aeneid_book5,Servius,"ordo est : iubet caedere MASK MASK , id est rite peragi sacrificium , et sic solvi MASK : sic in septimo “MASK MASK MASK MASK MASK“ , id est rite . 'MASK' autem quo naves ad terram ligantur .",SOLVIQUE EX ORDINE FUNEM,773,1,,,,774,237
17434163,aeneid_book6,Servius,"MASK “MASK MASK MASK MASK MASK“ . et hinc ostenditur quod diximus , iuncta esse haec tria : Acheronta , Stygem , Cocyton . de his autem nascuntur alia , unde est “MASK MASK MASK MASK MASK“ .",INDE UT STYGIA PROSPEXIT AB UNDA,385,1,,,,297,323
74640562,aeneid_book8,Servius,"unum vacat , aut 'MASK', aut 'MASK', ut “MASK MASK MASK MASK MASK MASK MASK“ : tale est et illud “MASK MASK MASK MASK“ .",POST HINC AD NAVES GRADITUR,546,1,,,,596,675
96585365,aeneid_book6,Servius,"obtineat , custodiat , inhabitet , ut “MASK MASK MASK MASK MASK MASK MASK“ .",SERVET,402,1,,,,673,851
6256800,aeneid_book1,Servius,"volubilibus , et est participium pro nomine . volvens enim est qui volvit , volubilis qui volvitur . anni autem volvuntur , non volvunt , ut est “MASK MASK MASK MASK MASK MASK MASK MASK“ . alii quia deficit lingua Latina participio praesenti passivo praesens activum positum volunt , ut “MASK MASK“ et “MASK MASK“ quae quassetur .",VOLVENTIBUS,234,1,,,,269,234
71119013,aeneid_book11,Servius,quantum ad mare pertinet : nam terrae prima est .,EXTREMAMQUE,626,1,,,,317,315
11608067,aeneid_book11,Servius,modo 'MASK'.,MUSSANT,454,1,,,,442,415
51741338,aeneid_book9,Servius,"per genetivum frequentius utimur hac figura , quam per ablativum . sane hic secutus veteres cuius rei MASK addidit , cum alibi subtraxerit , ut “MASK MASK MASK MASK“ et “MASK MASK MASK MASK MASK MASK“ .",DIVES EQUUM,26,1,,,,251,749
2496498,aeneid_book6,Servius,"'MASK MASK MASK' dicimus , non 'MASK MASK': quod qui dicunt decipiuntur propter 'MASK MASK MASK'.",INSISTERE LIMEN,563,1,,,,126,743
87044754,aeneid_book9,Servius,"ab hoc officio et ab hac audacia accessu temporis inferior non probabor , qualiscumque fortuna comitetur . id est numquam aut MASK secunda fortuna acciderit , aut MASK adversa , ut MASK MASK mei faciat , hoc est neque secundis intumescam , neque adversis deiciar .",ME NULLA DIES TAM FORTIBUS AVSIS DISSIMILEM ARGVERIT,279,1,,,,205,209
86614466,aeneid_book7,Servius,"alibi per accusativum , ut “MASK MASK MASK MASK MASK MASK“ . et hoc secundum naturam est , nam 'MASK MASK MASK' dicimus : per dativum enim figuratum est .",MUROQUE SUBIBANT,161,1,,,,210,195
92511118,aeneid_book5,Servius,id est inlustrabat .,INCENDEBAT,87,1,,,,88,588
7974537,aeneid_book4,Servius,"Proserpinam raptam a Dite patre Ceres cum incensis faculis MASK orbem terrarum requireret , MASK trivia eam vel quadrivia vocabat clamoribus . unde permansit in eius sacris , ut certis diebus MASK compita a matronis exerceatur ululatus , sicut in Isidis sacris , ubi est imitatio inventi Osiridis , quem dilaniatum a Typhone eius fratre uxor Isis MASK totum orbem requisisse narratur : Iuvenalis “MASK MASK MASK MASK MASK“ . Hecaten autem causa invocat ultionis . unde etiam furias vocat , sed usurpative modo diras dixit : nam 'MASK' in caelo sunt , ut “MASK MASK MASK MASK MASK“ : 'MASK' in terris , 'MASK' apud inferos : unde et tres esse dicuntur . sed haec nomina confundunt poetae . 'MASK' vero , hoc est Tisiphone : nam Graece MASK ultio dicitur . 'MASK' autem pro 'MASK MASK'. et est participium sine verbo , ut 'MASK'.",VLULATA PER URBES,609,1,,,,511,473
